Country,GDP per capita (USD),Life satisfaction
Afghanistan,19705602,1859
Albania,11052794,5133704
Argentina,24647629,6242357
Australia,48116.03,7284
Bahrain,44157.48,5567952
Benin,29614404,5956
Bolivia,8202544,5823
Bosnia and Herzegovina,13194331,5182
Botswana,15654682,3766
Brazil,14451153,6635
Chile,24531357,6652
China,13399138,5273
Colombia,14194516,6357
Costa Rica,19736666,7079
Croatia,25944258,5293
Cyprus,36509.07,5621
Ecuador,11551616,6008
Egypt,10795809,4735
El Salvador,8309.9,6003
Germany,51879.67,6951
Ghana,4837538,4.12
Guatemala,8206048,6454
Guinea,22534778,3507
Haiti,3116488,3603
Honduras,53956147,5181
Hong Kong,58096.3,5472
India,5851395,4315
Iran,14205212,4692
Iraq,10997387,4497
Israel,38214484,7213
Italy,40837.74,5964
Jamaica,9553097,5311
Japan,40754.1,5.92
Kazakhstan,24210863,5819
Kenya,41456406,4553
Kosovo,10031044,5279
Latvia,27509174,5.85
Lithuania,31925803,5902
Malawi,14537773,3.97
Mexico,19539262,6578
